all-about-eve,"{'Director': ['Joseph L. Mankiewicz'], 'Principal Cast': ['Anne Baxter', 'Barbara Bates', 'Bette Davis', 'Celeste Holm', 'Gary Merrill', 'George Sanders', 'Gregory Ratoff', 'Hugh Marlowe', 'Marilyn Monroe', 'Thelma Ritter'], 'Cast': ['Barbara White', 'Craig Hill', 'Leland Harris', 'Randy Stuart', 'Walter Hampden']}"
jules-and-jim,"{'Director': ['François Truffaut'], 'Principal Cast': ['Jeanne Moreau', 'Oskar Werner'], 'Cast': ['Anny Nelsen', 'Bernard Largemain', 'Danielle Bassiak', 'Dominique Lacarrière', 'Elen Bober', 'Henri Serre', 'Kate Noelle', 'Marie Dubois', 'Michel Subor', 'Pierre Fabre', 'Sabine Haudepin', 'Serge Rezvani', 'Vanna Urbino']}"
the-wild-bunch,"{'Director': ['Sam Peckinpah'], 'Principal Cast': ['Ben Johnson', ""Edmond O'Brien"", 'Emilio Fernández', 'Ernest Borgnine', 'Jaime Sánchez', 'L.Q. Jones', 'Robert Ryan', 'Strother Martin', 'Warren Oates', 'William Holden'], 'Cast': ['Albert Dekker', 'Bo Hopkins', 'Dub Taylor', 'Jorge Russek', 'Paul Harper']}"
my-left-foot,"{'Director': ['Jim Sheridan'], 'Principal Cast': ['Brenda Fricker', 'Daniel Day-Lewis'], 'Cast': ['Alison Whelan', 'Cyril Cusack', 'Declan Croghan', 'Derry Power', 'Eanna MacLiam', 'Fiona Shaw', ""Hugh O'Conor"", 'Kirsten Sheridan', 'Marie Conmee', 'Pat Laffan', 'Phelim Drew', 'Ray McAnally', 'Ruth McCabe']}"
the-third-man,"{'Director': ['Carol Reed'], 'Principal Cast': ['Alida Valli', 'Bernard Lee', 'Erich Ponto', 'Ernst Deutsch', 'Joseph Cotten', 'Orson Welles', 'Paul Hörbiger', 'Siegfried Breuer', 'Trevor Howard', 'Wilfrid Hyde-White'], 'Cast': ['Harold Ayer', 'Harry Belcher', 'Hedwig Bleibtreu', 'Jack Arrow', 'Nelly Arno']}"
dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,"{'Director': ['Stanley Kubrick'], 'Principal Cast': ['George C. Scott', 'Peter Sellers'], 'Cast': ['Frank Berry', 'Glenn Beck', 'Hal Galili', 'Jack Creley', 'James Earl Jones', 'Keenan Wynn', 'Peter Bull', ""Robert O'Neil"", 'Roy Stephens', 'Shane Rimmer', 'Slim Pickens', 'Sterling Hayden', 'Tracy Reed']}"
quo-vadis-aida,"{'Director': ['Jasmila Zbanic'], 'Principal Cast': ['Boris Isakovic', 'Boris Ler', 'Dino Bajrovic', 'Emir Hadzihafizbegovic', 'Izudin Bajrovic', 'Jasna Djuricic', 'Johan Heldenbergh', 'Raymond Thiry', 'Reinout Bussemaker', 'Teun Luijkx'], 'Cast': ['Alban Ukaj', 'Edita Malovcic', 'Ermin Bravo', 'Jelena Kordic', 'Juda Goslinga']}"
gone-with-the-wind,"{'Director': ['George Cukor', 'Sam Wood', 'Victor Fleming'], 'Principal Cast': ['Vivien Leigh'], 'Cast': ['Alicia Rhett', 'Ann Rutherford', ""Barbara O'Neil"", 'Butterfly McQueen', 'Evelyn Keyes', 'Everett Brown', 'Fred Crane', 'George Reeves', 'Hattie McDaniel', 'Howard C. Hickman', 'Leslie Howard', 'Oscar Polk', 'Thomas Mitchell', 'Victor Jory']}"
4-months-3-weeks-and-2-days,"{'Director': ['Cristian Mungiu'], 'Principal Cast': ['Anamaria Marinca', 'Vlad Ivanov'], 'Cast': ['Adi Carauleanu', 'Alexandru Potocean', 'Cerasela Iosifescu', 'Constantin Bojog', 'Costica Babu', 'Cristina Burbuz', 'Doru Ana', 'Eugenia Bosânceanu', 'Ion Sapdaru', 'Laura Vasiliu', 'Liliana Mocanu', 'Luminita Gheorghiu', 'Marioara Sterian', 'Mihaela Alexandru', 'Monica Alexandrescu', 'Tania Popa', 'Teodor Corban']}"
psycho-1960,"{'Director': ['Alfred Hitchcock'], 'Principal Cast': ['Anthony Perkins', 'Janet Leigh'], 'Cast': ['Fletcher Allen', 'Frank Albertson', 'John Anderson', 'John Gavin', 'John McIntire', 'Lurene Tuttle', 'Martin Balsam', 'Mort Mills', 'Patricia Hitchcock', 'Simon Oakland', 'Vaughn Taylor', 'Vera Miles', 'Walter Bacon']}"
battleship-potemkin,"{'Director': ['Sergei M. Eisenstein'], 'Principal Cast': ['A. Glauberman', 'Aleksandr Antonov', 'Aleksandr Levshin', 'Grigoriy Aleksandrov', 'Ivan Bobrov', 'Konstantin Feldman', 'Mikhail Gomorov', 'N. Poltavtseva', 'Prokhorenko', 'Vladimir Barskiy'], 'Cast': ['Beatrice Vitoldi', 'Daniil Antonovich', 'Iona Biy-Brodskiy', 'Julia Eisenstein', 'Sergei M. Eisenstein']}"
a-streetcar-named-desire,"{'Director': ['Elia Kazan'], 'Principal Cast': ['Ann Dere', 'Karl Malden', 'Kim Hunter', 'Marlon Brando', 'Nick Dennis', 'Peg Hillias', 'Richard Garrick', 'Rudy Bond', 'Vivien Leigh', 'Wright King'], 'Cast': ['Dahn Ben Amotz', 'Edna Thomas', 'Marietta Canty', 'Mel Archer', 'Mickey Kuhn']}"
american-graffiti,"{'Director': ['George Lucas'], 'Principal Cast': ['Bo Hopkins', 'Candy Clark', 'Charles Martin Smith', 'Cindy Williams', 'Mackenzie Phillips', 'Manuel Padilla Jr.', 'Paul Le Mat', 'Richard Dreyfuss', 'Ron Howard', 'Wolfman Jack'], 'Cast': ['Beau Gentry', 'Deby Celiz', 'Harrison Ford', 'Jana Bellan', 'Jim Bohan']}"
dumbo-1941,"{'Director': ['Ben Sharpsteen', 'Bill Roberts', 'Jack Kinney', 'John Elliotte', 'Norman Ferguson', 'Samuel Armstrong', 'Wilfred Jackson'], 'Principal Cast': ['Billy Bletcher', 'Cliff Edwards', 'Eddie Holden', 'Edward Brophy', 'Herman Bing', 'James Baskett', 'Jim Carmichael', 'Noreen Gammill', 'Sterling Holloway', 'Verna Felton'], 'Cast': ['Hall Johnson', 'Harold Manley', 'James MacDonald', 'John McLeish', 'Malcolm Hutton']}"
roma,"{'Director': ['Alfonso Cuarón'], 'Principal Cast': ['Andy Cortés', 'Carlos Peralta', 'Daniela Demesa', 'Diego Cortina Autrey', 'Fernando Grediaga', 'Marco Graf', 'Marina de Tavira', 'Nancy García García', 'Verónica García', 'Yalitza Aparicio'], 'Cast': ['Jorge Antonio Guerrero', 'José Luis López Gómez', 'José Manuel Guerrero Mendoza', 'Latin Lover', 'Zarela Lizbeth Chinolla Arellano']}"
ran,"{'Director': ['Akira Kurosawa'], 'Principal Cast': ['Akira Terao', 'Daisuke Ryû', 'Jinpachi Nezu', 'Tatsuya Nakadai'], 'Cast': ['Hisashi Igawa', 'Kazuo Katô', 'Kenji Kodama', 'Mansai Nomura', 'Masayuki Yui', 'Mieko Harada', 'Norio Matsui', 'Peter', 'Takashi Watanabe', 'Toshiya Ito', 'Yoshiko Miyazaki']}"
the-shop-around-the-corner,"{'Director': ['Ernst Lubitsch'], 'Principal Cast': ['Edwin Maxwell', 'Felix Bressart', 'Frank Morgan', 'Inez Courtney', 'James Stewart', 'Joseph Schildkraut', 'Margaret Sullavan', 'Sara Haden', 'Sarah Edwards', 'William Tracy'], 'Cast': ['Charles Arnt', 'Charles Halton', 'Charles Smith', 'Joan Blair', 'Mary Carr']}"
12-angry-men,"{'Director': ['Sidney Lumet'], 'Principal Cast': ['Henry Fonda', 'Lee J. Cobb'], 'Cast': ['E.G. Marshall', 'Ed Begley', 'Edward Binns', 'George Voskovec', 'Jack Klugman', 'Jack Warden', 'James Kelly', 'John Fiedler', 'Joseph Sweeney', 'Martin Balsam', 'Robert Webber', 'Rudy Bond', 'Tom Gorman']}"
manchester-by-the-sea,"{'Director': ['Kenneth Lonergan'], 'Principal Cast': ['Casey Affleck', 'Kyle Chandler', 'Lucas Hedges', 'Michelle Williams'], 'Cast': ['Amanda Blattner', 'Anna Baryshnikov', 'Anthony Estrella', 'Ben Hanson', ""Ben O'Brien"", 'Brian Chamberlain', 'C.J. Wilson', 'Casey Affleck', 'Chaunty Spillane', 'Danae Nason', 'Erica McDermott', 'Gretchen Mol', 'Heather Burns', 'Jeffrey Corazzini', 'Josh Hamilton', 'Kara Hayward', 'Kyle Chandler', 'Lewis D. Wheeler', 'Liam McNeill', 'Lucas Hedges', 'Mark Burzenski', 'Mary Mallen', 'Matthew Broderick', 'Michelle Williams', 'Missy Yager', 'Oscar Wahlberg', 'Quincy Tyler Bernstine', 'Richard Donelly', 'Robert Sella', 'Ruibo Qian', 'Stephanie Ann Saunders', 'Stephen Henderson', 'Susan Pourfar', 'Tate Donovan', 'Tom Kemp', 'Virginia Loring Cooke']}"
rosemarys-baby,"{'Director': ['Roman Polanski'], 'Principal Cast': ['John Cassavetes', 'Mia Farrow'], 'Cast': ['Charles Grodin', ""D'Urville Martin"", 'Elisha Cook Jr.', 'Emmaline Henry', 'Hanna Hertelendy', 'Hope Summers', 'Maurice Evans', 'Patsy Kelly', 'Phil Leeds', 'Ralph Bellamy', 'Ruth Gordon', 'Sidney Blackmer', 'Victoria Vetri']}"
the-maltese-falcon,"{'Director': ['John Huston'], 'Principal Cast': ['Barton MacLane', 'Elisha Cook Jr.', 'Gladys George', 'Humphrey Bogart', 'Jerome Cowan', 'Lee Patrick', 'Mary Astor', 'Peter Lorre', 'Sydney Greenstreet', 'Ward Bond'], 'Cast': ['Charles Drake', 'Chester Gan', 'James Burke', 'John Hamilton', 'Murray Alper']}"
12-years-a-slave,"{'Director': ['Steve McQueen'], 'Principal Cast': ['Alfre Woodard', 'Benedict Cumberbatch', 'Brad Pitt', 'Chiwetel Ejiofor', 'Garret Dillahunt', 'Michael Fassbender', 'Michael K. Williams', 'Paul Dano', 'Paul Giamatti', 'Sarah Paulson'], 'Cast': ['Adepero Oduye', 'Alfre Woodard', 'Ashley Dyke', 'Benedict Cumberbatch', 'Bill Camp', 'Brad Pitt', 'Bryan Batt', 'Cameron Zeigler', 'Chiwetel Ejiofor', 'Chris Chalk', 'Christopher Berry', 'Craig Tate', 'Dickie Gravois', 'Dwight Henry', 'Garret Dillahunt', 'Kelsey Scott', ""Lupita Nyong'o"", 'Marcus Lyle Brown', 'Michael Fassbender', 'Michael K. Williams', 'Mister Mackey Jr.', 'Paul Dano', 'Paul Giamatti', 'Quvenzhané Wallis', 'Ruth Negga', 'Sarah Paulson', 'Scoot McNairy', 'Taran Killam', 'Tom Proctor', 'Tony Bentley']}"
killer-of-sheep,"{'Director': ['Charles Burnett'], 'Principal Cast': ['Angela Burnett', 'Charles Bracy', 'Delores Farley', 'Dorothy Stengel', 'Eugene Cherry', 'Henry G. Sanders', 'Jack Drummond', 'Kaycee Moore', 'Slim', 'Tobar Mayo'], 'Cast': ['Angela Burnett', 'Charles Bracy', 'Chris Terrill', 'Eugene Cherry', 'Henry G. Sanders', 'Homer Jai', 'Jack Drummond', 'Johnny Smoke', 'Kaycee Moore', 'Lawrence Pierott', 'Russell Miles']}"
nashville,"{'Director': ['Robert Altman'], 'Principal Cast': ['Barbara Baxley', 'David Arkin', 'Geraldine Chaplin', 'Karen Black', 'Keith Carradine', 'Ned Beatty', 'Robert DoQui', 'Ronee Blakley', 'Shelley Duvall', 'Timothy Brown'], 'Cast': ['Allen Garfield', 'Barbara Harris', 'Henry Gibson', 'Jeff Goldblum', 'Scott Glenn']}"
ratatouille,"{'Director': ['Brad Bird'], 'Principal Cast': ['Brad Garrett', 'Lou Romano', 'Patton Oswalt'], 'Cast': ['Brian Dennehy', 'Ian Holm', 'Jake Steinfeld', 'James Remar', 'Janeane Garofalo', 'John Ratzenberger', 'Julius Callahan', ""Peter O'Toole"", 'Peter Sohn', 'Teddy Newton', 'Tony Fucile', 'Will Arnett']}"
parasite,"{'Director': ['Joon-ho Bong'], 'Principal Cast': ['Andreas Fronk', 'Hyae Jin Chang', 'Hye-jin Jang', 'Hyun Seung-min', 'JaeWook Park', 'Jeong Esuz', 'Jeong-eun Lee', 'Ji-rye Lee', 'Jung Hyeon-jun', 'Jung Ik-Han', 'Kang Echae', 'Kang-ho Song', 'Lee Joo-Hyung', 'Myeong-hoon Park', 'Pak Hyo-Shin', 'Seo Joon Park', 'Seon-gyun Lee', 'So-dam Park', 'Woo-sik Choi', 'Yeo-Jeong Cho', 'Yeo-jeong Jo'], 'Cast': ['Hye-jin Jang', 'Hyun Seung-min', 'JaeWook Park', 'Jeong Esuz', 'Jeong-eun Lee', 'Ji-hye Lee', 'Ji-rye Lee', 'Jung Hyeon-jun', 'Jung Ik-Han', 'Jung Ziso', 'Kang Echae', 'Keun-rok Park', 'Lee Joo-Hyung', 'Myeong-hoon Park', 'Pak Hyo-Shin', 'Seo Joon Park', 'Seong-Bong Ahn']}"
rocks,"{'Director': ['Sarah Gavron'], 'Principal Cast': ['Afi Okaidja', 'Anastasia Dymitrow', 'Bukky Bakray', ""D'angelou Osei Kissiedu"", 'Kosar Ali', 'Layo-Christina Akinlude', 'Ruby Stokes', 'Sarah Niles', 'Shaneigha-Monik Greyson', 'Tawheda Begum'], 'Cast': ['Brie-Morgan Appleton', 'Islah Abdur-Rahman', 'Mohammad Amiri', 'Sharon D Clarke', 'Shola Adewusi']}"
dont-look-now,"{'Director': ['Nicolas Roeg'], 'Principal Cast': ['Ann Rye', 'Clelia Matania', 'David Tree', 'Donald Sutherland', 'Giorgio Trestini', 'Hilary Mason', 'Julie Christie', 'Leopoldo Trieste', 'Massimo Serato', 'Renato Scarpa'], 'Cast': ['Adelina Poerio', 'Bruno Cattaneo', 'Nicholas Salter', 'Sharon Williams']}"
